m200,"log_eta, z=0","log_eta, z=1","log_eta, z=2","log_eta, z=4"
10.5,0.5905092168301491,0.8200140408818934,0.968659718442471,1.2749169400229108
11.0,0.45236714094227715,0.6566256689692462,0.8374787845167099,1.1309907637247953
11.5,0.3393722356914522,0.4319788223872998,0.5579821283096004,0.6424456146635401
12.0,0.4346017637709565,0.35899640722191234,0.3633970255061727,0.30771419637993
12.5,0.6856783700828972,0.5370553211834463,0.5532990292980584,
13.0,1.1214737343551737,0.46452141289761817,,
13.5,0.9173331771692956,,,
14.0,,,,
