m200,"log_inflow (Msun/Gyr), z=0","log_inflow (Msun/Gyr), z=1","log_inflow (Msun/Gyr), z=2","log_inflow (Msun/Gyr), z=4"
10.5,8.07854985387945,8.808522207994946,9.321907236304956,9.909751961096346
11.0,8.662801369121164,9.243121201505916,9.68882941107962,10.230549915666277
11.5,9.403205173754431,10.004783393482278,10.27207193953519,10.673047862905657
12.0,9.129953874705068,10.446383901215071,10.844564886189879,11.210673275118037
12.5,9.069608870924897,10.310972748773096,11.138421928098971,11.645730419795955
13.0,9.794953609653373,10.719643706352219,11.494044532091351,12.066530176956425
13.5,10.672310335347516,11.47874438709536,11.975843378873744,
14.0,11.570299682477206,12.219333830465294,,
