m200,"log_inflow (Msun/Gyr), z=0","log_inflow (Msun/Gyr), z=1","log_inflow (Msun/Gyr), z=2","log_inflow (Msun/Gyr), z=4"
10.5,7.195426141765019,8.238271338154663,9.081436482033038,9.6388374025868
11.0,7.7591843282213135,8.88465660842158,9.564476951798245,10.013368847620297
11.5,8.800529183860748,9.653860405173669,10.12208173596448,10.551759598058858
12.0,9.369305940647955,10.092048826609092,10.51869618544715,10.967191062179516
12.5,9.928606518203196,10.48139486771383,10.951383782828392,
13.0,10.532500303143383,10.944367120863449,,
13.5,10.97486394617434,,,
14.0,,,,
