m200,"log_inflow (Msun/Gyr), z=0","log_inflow (Msun/Gyr), z=1","log_inflow (Msun/Gyr), z=2","log_inflow (Msun/Gyr), z=4"
10.5,8.613239997907073,9.081304331837531,9.51544332579964,9.878437564223256
11.0,9.038625942105083,9.43595153604648,9.841798771236212,10.297991229687344
11.5,9.69441988993297,9.993944796353286,10.347986458918957,10.822212127227674
12.0,10.006696780887353,10.372261511937825,10.717095592781085,11.196200142412634
12.5,10.039116063969814,10.708138473723789,11.061093261627844,11.533057108829945
13.0,10.478702763911466,11.056141034101387,11.441406299774341,
13.5,11.127532945338633,11.542518677550783,11.825156188979173,
14.0,11.657191875484903,12.040950390373144,,
